,loss_train
129,1.4851782321929932
130,1.5682094097137451
131,1.3409228324890137
132,1.53578782081604
133,1.3158444166183472
134,1.3360193967819214
135,1.5350160598754883
136,1.445127248764038
137,1.662166714668274
138,1.534279465675354
139,1.7786201238632202
140,1.60614013671875
141,1.7270269393920898
142,1.5402979850769043
143,1.4654933214187622
144,1.3741172552108765
145,1.6288775205612183
146,1.474279761314392
147,1.6906307935714722
148,1.3429510593414307
149,1.5283068418502808
150,1.3423378467559814
151,1.7861443758010864
152,1.3924202919006348
153,1.6683436632156372
154,1.424485206604004
155,1.737442135810852
156,1.595628261566162
157,1.4255058765411377
158,1.5809028148651123
159,1.590821385383606
160,1.3595679998397827
161,1.2931087017059326
162,1.552192211151123
163,1.4171329736709595
164,1.6688679456710815
165,1.5807422399520874
166,1.494933009147644
167,1.7067484855651855
168,1.5177514553070068
169,1.367360234260559
170,1.4301327466964722
171,1.5423157215118408
172,1.3856077194213867
173,1.3275986909866333
174,1.341578722000122
175,1.330424189567566
176,1.2647507190704346
177,1.501084566116333
178,1.3850692510604858
179,1.4726498126983643
180,1.641329288482666
181,1.5950334072113037
182,1.2182905673980713
183,1.246008038520813
184,1.4160187244415283
185,1.2968394756317139
186,1.6818445920944214
187,1.4875578880310059
188,1.3879826068878174
189,1.680905818939209
190,1.46684992313385
191,1.2513489723205566
192,1.734818696975708
193,1.331997036933899
194,1.6826729774475098
195,1.4137715101242065
196,1.3128113746643066
197,1.515537142753601
198,1.433609127998352
199,1.394433617591858
200,1.4537512063980103
201,1.300592303276062
202,1.6769835948944092
203,1.4749929904937744
204,1.6272300481796265
205,1.9304170608520508
206,1.1238001585006714
207,1.5792385339736938
208,1.5382530689239502
209,1.5116790533065796
210,1.5817452669143677
211,1.5298702716827393
212,1.468161940574646
213,1.3563182353973389
214,1.2704204320907593
215,1.450179934501648
216,1.6886377334594727
217,1.386318325996399
218,1.5769133567810059
219,1.5384310483932495
220,1.363542079925537
221,1.5845894813537598
222,1.397578239440918
223,1.6023788452148438
224,1.2660807371139526
225,1.343385934829712
226,1.3278330564498901
227,1.483087182044983
228,1.2934645414352417
229,1.1211875677108765
230,1.6730053424835205
231,1.2764613628387451
232,1.3878507614135742
233,1.4574737548828125
234,1.1982944011688232
235,1.201589584350586
236,1.4590134620666504
237,1.2067447900772095
238,1.278975009918213
239,1.2894935607910156
240,1.4457387924194336
241,1.3874213695526123
242,1.7705671787261963
243,1.2157078981399536
244,1.24582839012146
245,1.4169377088546753
246,1.1667906045913696
247,1.4654045104980469
248,1.3742108345031738
249,1.4030030965805054
250,1.2665444612503052
251,1.329253077507019
252,1.6173198223114014
253,1.4621214866638184
254,1.715601921081543
255,1.3962483406066895
256,1.4929944276809692
257,1.4711647033691406
258,1.8565964698791504
259,1.401208758354187
260,1.5141606330871582
261,1.3318660259246826
262,1.265476942062378
263,1.343855619430542
264,1.1693516969680786
265,1.350673794746399
266,1.160740852355957
267,1.3352121114730835
268,1.3679990768432617
269,1.3610588312149048
270,1.444812297821045
271,1.4901325702667236
272,1.2999588251113892
273,1.6911448240280151
274,1.6302971839904785
275,1.0970289707183838
276,1.3067561388015747
277,1.2342830896377563
278,1.4496369361877441
279,1.4186451435089111
280,1.501521348953247
281,1.1860573291778564
282,1.0578500032424927
283,1.281012773513794
284,1.3591444492340088
285,1.5413463115692139
286,1.6470364332199097
287,1.5560941696166992
288,1.1505939960479736
289,1.450913906097412
290,1.22987699508667
291,1.0921990871429443
292,1.5666189193725586
293,1.3073034286499023
294,1.4670885801315308
295,1.1952147483825684
296,1.3963056802749634
297,1.1230849027633667
298,1.3209670782089233
299,1.3004851341247559
300,1.3873263597488403
301,1.3539247512817383
302,1.2408061027526855
303,1.1940412521362305
304,1.4860403537750244
305,1.736099362373352
306,1.4533578157424927
307,1.240201473236084
308,1.2597508430480957
309,1.4413468837738037
310,1.7497590780258179
311,1.7715215682983398
312,1.1448746919631958
313,1.3385833501815796
314,1.2429310083389282
315,1.266361117362976
316,1.3930487632751465
317,1.5349453687667847
318,1.4314162731170654
319,1.4837580919265747
320,1.4821356534957886
321,1.4513074159622192
322,1.2262459993362427
323,1.4579873085021973
324,1.3181086778640747
325,1.5882011651992798
326,1.473014235496521
327,1.5267561674118042
328,1.4504488706588745
329,1.5779883861541748
330,1.3882801532745361
331,1.350150465965271
332,1.3233643770217896
333,1.2473465204238892
334,1.1052781343460083
335,1.4055787324905396
336,1.267305850982666
337,1.3836132287979126
338,1.568159818649292
339,1.2079377174377441
340,1.2644813060760498
341,1.1210732460021973
342,1.1244864463806152
343,1.1864001750946045
344,1.1507139205932617
345,1.2510960102081299
346,1.2939307689666748
347,1.315992832183838
348,1.3386174440383911
349,1.2004785537719727
350,1.415683627128601
351,1.5871262550354004
352,1.212277889251709
353,1.3147538900375366
354,1.3894622325897217
355,1.2302608489990234
356,1.4656469821929932
357,1.3902517557144165
358,1.4284298419952393
359,1.5118058919906616
360,1.1711097955703735
361,1.2522832155227661
362,1.2813950777053833
363,1.2935069799423218
364,1.1397086381912231
365,1.105717658996582
366,1.197410225868225
367,1.4189115762710571
368,1.2379894256591797
369,1.5583224296569824
370,1.3514418601989746
371,1.047552466392517
372,0.9506362676620483
373,1.3524467945098877
374,1.2625261545181274
375,1.2257795333862305
376,1.265658974647522
377,1.2571216821670532
378,1.455318570137024
379,1.546799898147583
380,1.165431022644043
381,1.4147047996520996
382,1.3130202293395996
383,1.2710763216018677
384,1.282170057296753
385,1.2759084701538086
386,1.2860713005065918
387,1.5631619691848755
388,1.3098573684692383
389,1.553810715675354
390,1.1808576583862305
391,1.5515975952148438
392,1.30547297000885
393,1.3252441883087158
394,1.207755446434021
395,1.3215442895889282
396,1.5044561624526978
397,1.6202023029327393
398,1.2291631698608398
399,1.3046187162399292
400,1.551345705986023
401,1.5341647863388062
402,1.3835922479629517
403,1.218450903892517
404,1.3247878551483154
405,1.2901158332824707
406,1.2304342985153198
407,1.5878573656082153
408,1.3606719970703125
409,1.1930346488952637
410,1.3325320482254028
411,1.5389132499694824
412,1.435899257659912
413,1.2466554641723633
414,1.3002837896347046
415,1.3363711833953857
416,0.9761861562728882
417,1.2662423849105835
418,1.0371111631393433
419,1.1237810850143433
420,1.2620640993118286
421,1.1663308143615723
422,1.237197995185852
423,1.389406442642212
424,1.5038540363311768
425,1.4543206691741943
426,1.3076835870742798
427,1.1414200067520142
428,1.3819977045059204
429,1.5065780878067017
430,1.2262771129608154
